Rk,Player,brefid, Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,2P%,3P%,eFG%
78,Maria Vadeeva,vadeema01w,2019,20,LAS,WNBA,0.7,15,1,180,51,104,46,88,5,16,10,13,18,58,10,15,3,18,23,117,0.49,0.769,0.523,0.313,0.514
79,Rebecca Allen,allenre01w,2019,26,NYL,WNBA,0.6,24,2,412,65,156,36,88,29,68,13,16,12,61,17,12,18,17,51,172,0.417,0.813,0.409,0.426,0.51
80,Kennedy Burke,burkeke01w,2019,22,IND,WNBA,0.6,31,7,423,45,117,31,77,14,40,31,44,18,45,22,18,10,21,30,135,0.385,0.705,0.403,0.35,0.444
81,Layshia Clarendon,clarela01w,2019,28,CON,WNBA,0.6,9,0,138,18,43,16,41,2,2,18,21,7,22,19,3,0,8,7,56,0.419,0.857,0.39,1,0.442
82,Crystal Langhorne,langhcr01w,2019,32,SEA,WNBA,0.6,34,4,577,70,171,52,114,18,57,33,44,27,106,33,10,9,43,35,191,0.409,0.75,0.456,0.316,0.462
83,Camille Little,littlca01w,2019,34,PHO,WNBA,0.6,29,0,425,40,92,33,71,7,21,25,31,19,69,23,11,8,25,51,112,0.435,0.806,0.465,0.333,0.473
84,Stephanie Mavunga,mavunst01w,2019,24,IND,WNBA,0.6,24,0,204,24,47,24,46,0,1,12,17,21,56,4,6,7,10,39,60,0.511,0.706,0.522,0,0.511
85,Kayla Thornton,thornka01w,2019,26,DAL,WNBA,0.6,27,25,822,99,289,71,186,28,103,54,58,49,143,48,25,8,44,60,280,0.343,0.931,0.382,0.272,0.391
86,Tanisha Wright,wrighta01w,2019,35,NYL,WNBA,0.6,31,17,613,54,130,40,92,14,38,25,31,21,86,126,32,9,57,67,147,0.415,0.806,0.435,0.368,0.469
87,Tamera Young,youngta01w,2019,32,LVA,WNBA,0.6,34,4,628,68,179,63,163,5,16,39,61,35,124,67,23,4,48,61,180,0.38,0.639,0.387,0.313,0.394
88,Alana Beard,beardal01w,2019,37,LAS,WNBA,0.5,16,3,235,22,49,21,44,1,5,7,9,2,24,23,12,3,9,21,52,0.449,0.778,0.477,0.2,0.459
89,Sophie Cunningham,cunniso01w,2019,22,PHO,WNBA,0.5,32,5,389,28,79,14,33,14,46,30,34,6,45,25,11,4,20,53,100,0.354,0.882,0.424,0.304,0.443
90,Reshanda Gray,grayre01w,2019,26,NYL,WNBA,0.5,34,10,519,71,150,70,148,1,2,35,62,62,176,18,16,7,42,113,178,0.473,0.565,0.473,0.5,0.477
91,Briann January,januabr01w,2019,32,PHO,WNBA,0.5,32,26,852,71,182,40,100,31,82,36,43,6,42,103,26,3,54,67,209,0.39,0.837,0.4,0.378,0.475
92,Shey Peddy,peddysh01w,2019,30,WAS,WNBA,0.5,15,0,71,8,13,4,5,4,8,6,6,1,9,8,4,0,3,8,26,0.615,1,0.8,0.5,0.769
93,Sugar Rodgers,rodgesu01w,2019,29,LVA,WNBA,0.5,33,0,382,40,111,10,27,30,84,3,5,4,48,39,13,12,27,37,113,0.36,0.6,0.37,0.357,0.495
94,Essence Carson,carsoes01w,2019,32,PHO,WNBA,0.4,23,13,425,45,128,31,87,14,41,29,37,11,51,35,12,8,17,23,133,0.352,0.784,0.356,0.341,0.406
95,Asia Durr,durras01w,2019,22,NYL,WNBA,0.4,18,15,480,71,152,56,101,15,51,18,22,5,29,31,10,7,21,34,175,0.467,0.818,0.554,0.294,0.516
96,Imani McGee-Stafford,boyetim01w,2019,24,DAL,WNBA,0.4,29,6,346,51,109,50,105,1,4,9,14,44,111,18,17,18,34,58,112,0.468,0.643,0.476,0.25,0.472
97,Nayo Raincock-Ekunwe,raincna01w,2019,27,NYL,WNBA,0.4,28,1,367,43,79,42,76,1,3,16,25,39,77,12,8,4,22,43,103,0.544,0.64,0.553,0.333,0.551
98,Carolyn Swords,swordca01w,2019,29,LVA,WNBA,0.4,29,4,257,32,73,32,73,0,0,11,13,19,63,10,7,3,17,27,75,0.438,0.846,0.438,,0.438
99,Bria Hartley,hartlbr01w,2019,26,NYL,WNBA,0.3,24,18,545,79,210,55,137,24,73,53,66,18,77,76,18,1,50,55,235,0.376,0.803,0.401,0.329,0.433
100,Myisha Hines-Allen,hinesmy01w,2019,23,WAS,WNBA,0.3,27,0,211,25,69,19,53,6,16,7,12,25,58,24,9,11,21,32,63,0.362,0.583,0.358,0.375,0.406
101,Marina Mabrey,mabrema01w,2019,22,LAS,WNBA,0.3,31,0,355,45,131,24,54,21,77,14,16,6,38,30,19,7,24,23,125,0.344,0.875,0.444,0.273,0.424
102,Courtney Paris,parisco01w,2019,31,SEA,WNBA,0.3,30,0,190,6,15,6,15,0,0,3,7,13,52,13,8,3,9,18,15,0.4,0.429,0.4,,0.4
103,Katie Lou Samuelson,samueka02w,2019,22,CHI,WNBA,0.3,20,0,153,12,38,4,9,8,29,16,20,4,17,7,6,2,5,15,48,0.316,0.8,0.444,0.276,0.421
104,Morgan Tuck,tuckmo01w,2019,25,CON,WNBA,0.3,33,0,352,45,116,30,74,15,42,18,30,18,66,28,13,3,30,44,123,0.388,0.6,0.405,0.357,0.453
105,Nia Coffey,coffeni01w,2019,24,ATL,WNBA,0.2,28,6,389,47,139,25,81,22,58,23,42,23,78,12,14,13,21,52,139,0.338,0.548,0.309,0.379,0.417
106,Temi Fagbenle,fagbete01w,2019,26,MIN,WNBA,0.2,18,0,271,42,81,41,75,1,6,13,18,22,52,15,6,6,32,41,98,0.519,0.722,0.547,0.167,0.525
107,Shenise Johnson,johnssh02w,2019,28,IND,WNBA,0.2,17,0,219,30,90,22,57,8,33,15,16,11,35,18,12,2,12,17,83,0.333,0.938,0.386,0.242,0.378
108,Sancho Lyttle,lyttlsa01w,2019,35,PHO,WNBA,0.2,20,2,250,26,62,25,58,1,4,5,8,14,58,6,12,5,12,27,58,0.419,0.625,0.431,0.25,0.427
109,Epiphanny Prince,princep01w,2019,31,LVA,WNBA,0.2,3,0,28,5,10,2,3,3,7,0,0,1,2,3,1,1,0,5,13,0.5,,0.667,0.429,0.65
110,Kayla Alexander,alexaka01w,2019,28,CHI,WNBA,0.1,3,0,20,3,4,3,4,0,0,3,4,2,7,1,0,0,1,3,9,0.75,0.75,0.75,,0.75
111,Kristine Anigwe,anigwkr01w,2019,22,TOT,WNBA,0.1,27,0,250,22,68,22,68,0,0,22,32,28,66,6,9,8,17,39,66,0.324,0.688,0.324,,0.324
112,Tayler Hill,hillta01w,2019,28,DAL,WNBA,0.1,4,2,49,4,13,3,7,1,6,4,5,2,5,3,1,0,0,4,13,0.308,0.8,0.429,0.167,0.346
113,Alexis Jones,jonesal01w,2019,25,LAS,WNBA,0.1,20,1,243,28,70,17,37,11,33,12,15,2,22,36,6,4,27,29,79,0.4,0.8,0.459,0.333,0.479
