"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"11","Alyssa Thomas",2019,27,"CON",3.7,34,34,1026,30.1764705882353,168,4.94117647058824,333,9.79411764705882,168,4.94117647058824,332,9.76470588235294,0,0,1,0.0294117647058824,60,1.76470588235294,121,3.55882352941176,181,5.32352941176471,83,2.44117647058824,264,7.76470588235294,104,3.05882352941176,66,1.94117647058824,13,0.382352941176471,69,2.02941176470588,96,2.82352941176471,396,11.6470588235294,0.505,0.496,0.506,0,0.505,-5.78942113880086,-1.42596057871907,115000
"12","Amanda Zahui B.",2019,25,"NYL",1.4,24,23,558,23.25,81,3.375,173,7.20833333333333,59,2.45833333333333,104,4.33333333333333,22,0.916666666666667,69,2.875,23,0.958333333333333,27,1.125,126,5.25,26,1.08333333333333,152,6.33333333333333,21,0.875,26,1.08333333333333,33,1.375,32,1.33333333333333,79,3.29166666666667,207,8.625,0.468,0.852,0.567,0.319,0.532,1.44980472663081,0.460371423936595,108000
"13","Angel McCoughtry",2019,32,"ATL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-4.41582160432627,-0.0145561639192173,117500
"14","Anriel Howard",2019,22,"SEA",0,3,0,20,6.66666666666667,2,0.666666666666667,5,1.66666666666667,1,0.333333333333333,3,1,1,0.333333333333333,2,0.666666666666667,0,0,0,0,1,0.333333333333333,2,0.666666666666667,3,1,0,0,1,0.333333333333333,0,0,2,0.666666666666667,4,1.33333333333333,5,1.66666666666667,0.4,NA,0.333,0.5,0.5,8.94029415352683,0.24347177573591,NA
"15","Arica Carter",2019,22,"PHO",-0.1,6,0,24,4,1,0.166666666666667,5,0.833333333333333,1,0.166666666666667,1,0.166666666666667,0,0,4,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0.166666666666667,1,0.166666666666667,0,0,2,0.333333333333333,5,0.833333333333333,2,0.333333333333333,0.2,NA,1,0,0.2,-12.03994869173,-0.671352601992586,41965
"16","Ariel Atkins",2019,22,"WAS",3,33,33,804,24.3636363636364,123,3.72727272727273,296,8.96969696969697,72,2.18181818181818,153,4.63636363636364,51,1.54545454545455,143,4.33333333333333,43,1.3030303030303,53,1.60606060606061,69,2.09090909090909,24,0.727272727272727,93,2.81818181818182,65,1.96969696969697,48,1.45454545454545,18,0.545454545454545,34,1.03030303030303,73,2.21212121212121,340,10.3030303030303,0.416,0.811,0.471,0.357,0.502,-0.958767764154488,-0.0667613178608467,49611
"17","Arike Ogunbowale",2019,22,"DAL",2.7,33,28,1059,32.0909090909091,214,6.48484848484848,551,16.6969696969697,157,4.75757575757576,389,11.7878787878788,57,1.72727272727273,162,4.90909090909091,145,4.39393939393939,178,5.39393939393939,60,1.81818181818182,20,0.606060606060606,80,2.42424242424242,106,3.21212121212121,35,1.06060606060606,1,0.0303030303030303,68,2.06060606060606,85,2.57575757575758,630,19.0909090909091,0.388,0.815,0.404,0.352,0.44,-3.29201068261366,-0.585104952178687,49539
"18","Ashley Walker",2019,32,"LAS",-0.1,3,0,22,7.33333333333333,1,0.333333333333333,11,3.66666666666667,1,0.333333333333333,6,2,0,0,5,1.66666666666667,0,0,0,0,1,0.333333333333333,2,0.666666666666667,3,1,3,1,1,0.333333333333333,0,0,0,0,4,1.33333333333333,2,0.666666666666667,0.091,NA,0.167,0,0.091,14.3795853088844,0.622859454547778,56375
"19","Asia Durr",2019,22,"NYL",0.4,18,15,480,26.6666666666667,71,3.94444444444444,152,8.44444444444444,56,3.11111111111111,101,5.61111111111111,15,0.833333333333333,51,2.83333333333333,18,1,22,1.22222222222222,24,1.33333333333333,5,0.277777777777778,29,1.61111111111111,31,1.72222222222222,10,0.555555555555556,7,0.388888888888889,21,1.16666666666667,34,1.88888888888889,175,9.72222222222222,0.467,0.818,0.554,0.294,0.516,1.43403492324087,0.209221822529499,53537
"20","Asia Taylor",2019,27,"TOT",0,12,0,96,8,10,0.833333333333333,28,2.33333333333333,10,0.833333333333333,26,2.16666666666667,0,0,2,0.166666666666667,6,0.5,8,0.666666666666667,13,1.08333333333333,8,0.666666666666667,21,1.75,8,0.666666666666667,2,0.166666666666667,1,0.0833333333333333,7,0.583333333333333,10,0.833333333333333,26,2.16666666666667,0.357,0.75,0.385,0,0.357,13.3276778665581,1.35150145672862,NA
